PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1996,40.25,-73.75,0.76,0.76,2.22,7.65,12.72,19.46,21.25,22.09,19.86,13.99,6.98,5.99,11.17
T2M,1996,40.25,-74.25,-1.58,-0.31,1.46,8.57,13.6,20.14,21.68,22.07,19.35,12.73,4.86,4.12,10.59
T2M,1996,40.25,-74.75,-3.12,-0.93,0.99,8.99,13.94,20.38,21.7,21.9,18.95,11.91,3.69,2.92,10.14
T2M,1996,40.25,-75.25,-4.04,-1.3,0.72,9.06,13.96,20.41,21.55,21.86,18.71,11.42,3.11,2.18,9.83
T2M,1996,40.75,-72.25,1.53,0.53,1.91,6.79,11.77,18.07,20.07,20.91,18.69,13.61,7.45,6.57,10.69
T2M,1996,40.75,-72.75,0.58,-0.03,1.57,6.99,12.16,18.56,20.58,21.45,19.07,13.53,6.9,5.94,10.65
T2M,1996,40.75,-73.25,-0.55,-0.5,1.29,7.32,12.58,19.09,21.0,21.9,19.29,13.26,6.13,5.11,10.53
T2M,1996,40.75,-73.75,-2.06,-0.96,1.06,7.78,12.95,19.5,21.28,22.06,19.2,12.52,4.86,3.87,10.2
T2M,1996,40.75,-74.25,-3.68,-1.72,0.46,8.12,13.21,19.76,21.25,21.87,18.66,11.48,3.52,2.4,9.64
T2M,1996,40.75,-74.75,-4.67,-2.21,0.05,8.15,13.16,19.7,20.94,21.44,18.14,10.83,2.72,1.44,9.17
T2M,1996,40.75,-75.25,-5.31,-2.54,-0.22,7.98,12.97,19.54,20.55,21.09,17.71,10.4,2.2,0.86,8.8
T2M,1996,41.25,-72.25,-1.88,-1.56,0.58,6.88,12.26,18.48,20.44,21.25,18.36,12.14,4.91,4.1,9.7
T2M,1996,41.25,-72.75,-2.89,-2.06,0.28,7.02,12.5,18.79,20.7,21.56,18.51,11.87,4.31,3.39,9.53
T2M,1996,41.25,-73.25,-3.8,-2.46,-0.01,7.17,12.66,19.04,20.75,21.63,18.46,11.45,3.71,2.61,9.3
T2M,1996,41.25,-73.75,-4.86,-2.71,-0.2,7.49,12.88,19.37,20.85,21.56,18.19,10.76,2.73,1.59,9.0
T2M,1996,41.25,-74.25,-5.65,-3.21,-0.61,7.3,12.57,19.2,20.45,21.09,17.59,10.09,2.11,0.68,8.5
T2M,1996,41.25,-74.75,-6.08,-3.55,-0.93,7.03,12.25,18.93,19.98,20.5,17.02,9.64,1.62,0.04,8.06
T2M,1996,41.25,-75.25,-6.44,-3.84,-1.24,6.7,11.89,18.64,19.49,19.94,16.49,9.29,1.16,-0.33,7.67
T2M,1996,41.75,-72.25,-4.97,-3.3,-0.67,6.59,12.4,18.68,20.4,21.26,17.59,10.31,2.49,1.69,8.57
T2M,1996,41.75,-72.75,-5.65,-3.66,-0.92,6.52,12.33,18.71,20.26,21.13,17.46,9.99,2.05,1.09,8.31
