PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,40.25,-74.25,-1.08,1.06,6.45,8.99,15.54,20.52,22.1,21.89,18.48,13.16,6.67,-0.32,11.15
T2M,2000,40.25,-74.75,-2.24,0.11,6.54,9.14,16.0,21.0,22.09,21.68,17.98,12.46,5.63,-1.72,10.75
T2M,2000,40.25,-75.25,-2.82,-0.38,6.44,9.11,16.11,21.05,21.95,21.66,17.66,12.11,5.04,-2.56,10.48
T2M,2000,40.75,-72.25,1.58,2.85,5.4,7.84,12.94,17.3,20.76,21.31,18.82,14.1,8.91,2.76,11.24
T2M,2000,40.75,-72.75,0.67,2.12,5.42,7.91,13.43,17.98,21.12,21.54,18.89,13.97,8.43,1.9,11.14
T2M,2000,40.75,-73.25,-0.27,1.35,5.55,8.08,14.07,18.79,21.36,21.7,18.81,13.66,7.75,0.92,11.01
T2M,2000,40.75,-73.75,-1.58,0.44,5.63,8.23,14.73,19.63,21.53,21.65,18.41,13.01,6.71,-0.44,10.69
T2M,2000,40.75,-74.25,-2.89,-0.71,5.63,8.22,15.2,20.23,21.42,21.19,17.68,12.18,5.47,-1.99,10.16
T2M,2000,40.75,-74.75,-3.64,-1.41,5.52,8.13,15.29,20.23,21.1,20.85,17.21,11.71,4.64,-3.0,9.75
T2M,2000,40.75,-75.25,-4.11,-1.79,5.28,7.99,15.18,19.98,20.66,20.69,16.84,11.36,4.02,-3.77,9.39
T2M,2000,41.25,-72.25,-1.62,0.63,4.66,7.59,13.37,18.12,20.61,20.94,18.15,12.71,6.97,-0.14,10.19
T2M,2000,41.25,-72.75,-2.47,-0.12,4.7,7.62,13.83,18.6,20.7,20.97,18.05,12.43,6.35,-0.99,10.0
T2M,2000,41.25,-73.25,-3.2,-0.91,4.73,7.59,14.28,19.0,20.51,20.8,17.7,12.0,5.64,-1.82,9.72
T2M,2000,41.25,-73.75,-4.17,-1.76,4.78,7.6,14.72,19.53,20.46,20.71,17.21,11.37,4.76,-2.9,9.39
T2M,2000,41.25,-74.25,-4.75,-2.47,4.53,7.27,14.61,19.42,20.0,20.19,16.6,10.91,4.02,-3.74,8.91
T2M,2000,41.25,-74.75,-5.11,-2.9,4.3,7.04,14.44,19.16,19.58,19.87,16.28,10.69,3.46,-4.33,8.57
T2M,2000,41.25,-75.25,-5.43,-3.1,4.01,6.83,14.22,18.82,19.09,19.62,15.96,10.4,2.91,-4.94,8.23
T2M,2000,41.75,-72.25,-4.43,-1.28,4.0,7.1,13.61,18.59,20.16,20.38,17.24,11.09,4.9,-2.81,9.07
T2M,2000,41.75,-72.75,-5.04,-2.02,3.86,6.96,13.77,18.59,19.84,20.09,16.85,10.66,4.35,-3.44,8.73
T2M,2000,41.75,-73.25,-5.65,-2.88,3.61,6.69,13.82,18.48,19.27,19.62,16.19,10.11,3.68,-4.13,8.26
T2M,2000,41.75,-73.75,-5.63,-3.18,3.77,6.89,14.15,18.76,19.31,19.73,16.07,10.08,3.56,-4.22,8.3
T2M,2000,41.75,-74.25,-6.31,-3.89,3.16,6.1,13.54,18.14,18.42,18.91,15.24,9.47,2.78,-5.18,7.56
T2M,2000,41.75,-74.75,-6.65,-4.36,2.87,5.78,13.31,17.83,18.01,18.58,14.94,9.23,2.28,-5.69,7.21
T2M,2000,41.75,-75.25,-6.65,-4.31,2.84,5.79,13.38,17.81,17.88,18.61,14.99,9.2,1.99,-5.93,7.16
T2M,2001,39.75,-72.25,4.79,4.72,5.27,8.08,13.18,19.46,21.61,23.65,21.14,16.77,13.72,10.49,13.62
T2M,2001,39.75,-72.75,4.33,4.26,4.79,7.75,13.03,19.5,21.62,23.56,20.95,16.38,13.47,10.11,13.37
T2M,2001,39.75,-73.25,3.63,3.76,4.47,7.77,13.26,19.81,21.68,23.57,20.73,16.02,13.16,9.61,13.18
T2M,2001,39.75,-73.75,2.66,3.21,4.22,8.36,13.99,20.33,21.88,23.78,20.48,15.72,12.75,8.88,13.07
T2M,2001,39.75,-74.25,0.6,2.31,3.81,9.65,15.36,21.42,22.31,24.33,19.95,14.76,11.57,7.23,12.83
T2M,2001,39.75,-74.75,-0.76,1.69,3.52,10.57,16.18,22.03,22.73,24.89,19.6,14.07,10.7,6.01,12.66
T2M,2001,39.75,-75.25,-1.35,1.31,3.26,10.99,16.52,22.33,23.11,25.21,19.33,13.69,10.26,5.3,12.55
T2M,2001,40.25,-72.25,3.73,3.57,4.16,7.25,12.6,18.8,21.01,23.05,20.47,15.98,12.93,9.47,12.8
T2M,2001,40.25,-72.75,3.11,3.13,3.86,7.39,12.92,19.15,21.2,23.2,20.38,15.68,12.66,9.07,12.7
T2M,2001,40.25,-73.25,2.17,2.58,3.63,7.86,13.55,19.79,21.49,23.56,20.25,15.36,12.22,8.47,12.63
T2M,2001,40.25,-73.75,1.19,2.16,3.52,8.6,14.35,20.41,21.87,24.07,20.06,15.07,11.76,7.76,12.63
T2M,2001,40.25,-74.25,-0.96,1.2,3.02,9.71,15.57,21.42,22.38,24.75,19.47,13.99,10.55,6.03,12.32
T2M,2001,40.25,-74.75,-2.07,0.52,2.61,10.24,16.03,21.76,22.64,25.0,19.01,13.26,9.73,4.88,12.03
T2M,2001,40.25,-75.25,-2.52,0.09,2.23,10.35,16.12,21.87,22.78,24.98,18.62,12.8,9.28,4.18,11.79
T2M,2001,40.75,-72.25,1.87,2.05,3.11,7.15,12.73,18.74,20.69,22.83,19.78,15.09,11.8,8.02,12.04
T2M,2001,40.75,-72.75,0.98,1.56,2.84,7.54,13.37,19.3,21.11,23.31,19.74,14.82,11.42,7.44,12.01
T2M,2001,40.75,-73.25,-0.07,1.03,2.59,8.2,14.16,20.06,21.6,23.92,19.65,14.48,10.95,6.77,12.0
T2M,2001,40.75,-73.75,-1.5,0.52,2.39,8.91,14.95,20.79,22.06,24.59,19.33,13.81,10.15,5.73,11.87
T2M,2001,40.75,-74.25,-2.9,-0.36,1.81,9.33,15.45,21.11,22.09,24.75,18.66,12.89,9.25,4.46,11.44
T2M,2001,40.75,-74.75,-3.47,-0.97,1.3,9.36,15.48,21.04,21.96,24.54,18.05,12.22,8.61,3.6,11.04
T2M,2001,40.75,-75.25,-3.64,-1.36,0.87,9.2,15.3,20.91,21.76,24.16,17.48,11.63,8.11,2.97,10.68
T2M,2001,41.25,-72.25,-1.07,0.09,1.8,7.58,13.75,19.52,20.83,23.29,18.93,13.64,9.91,5.6,11.21
T2M,2001,41.25,-72.75,-2.07,-0.37,1.5,7.91,14.23,19.89,21.22,23.77,18.8,13.31,9.46,4.96,11.11
T2M,2001,41.25,-73.25,-3.09,-0.86,1.12,8.26,14.62,20.23,21.47,24.11,18.55,12.91,9.06,4.35,10.96
T2M,2001,41.25,-73.75,-4.22,-1.33,0.89,8.74,15.06,20.68,21.76,24.53,18.25,12.29,8.37,3.47,10.77
T2M,2001,41.25,-74.25,-4.7,-2.01,0.34,8.55,14.88,20.36,21.35,24.15,17.65,11.67,7.82,2.78,10.3
T2M,2001,41.25,-74.75,-4.61,-2.45,-0.14,8.32,14.64,20.08,21.04,23.76,17.06,11.14,7.4,2.27,9.94
T2M,2001,41.25,-75.25,-4.48,-2.73,-0.57,8.01,14.31,19.75,20.62,23.23,16.39,10.53,7.0,1.8,9.55
T2M,2001,41.75,-72.25,-3.66,-1.74,0.31,7.54,14.49,20.17,20.87,23.78,18.12,12.15,7.99,3.19,10.33
T2M,2001,41.75,-72.75,-4.51,-2.18,-0.07,7.62,14.52,20.13,20.92,23.81,17.8,11.74,7.6,2.68,10.07
T2M,2001,41.75,-73.25,-5.45,-2.69,-0.55,7.59,14.36,19.87,20.7,23.59,17.33,11.27,7.19,2.15,9.68
T2M,2001,41.75,-73.75,-5.55,-2.68,-0.41,7.97,14.51,20.0,20.98,23.82,17.42,11.31,7.16,2.0,9.78
T2M,2001,41.75,-74.25,-5.84,-3.54,-1.34,7.28,13.74,19.14,19.99,22.86,16.49,10.51,6.59,1.32,9.0
T2M,2001,41.75,-74.75,-5.71,-3.97,-1.82,7.0,13.41,18.75,19.59,22.45,15.89,9.95,6.16,0.84,8.61
T2M,2001,41.75,-75.25,-5.33,-3.91,-1.96,6.96,13.37,18.66,19.51,22.3,15.52,9.64,6.02,0.67,8.52
T2M,2002,39.75,-72.25,8.37,6.83,7.62,9.89,12.87,17.87,22.5,23.45,21.1,16.6,12.4,7.94,14.0
T2M,2002,39.75,-72.75,7.76,6.47,7.22,9.89,12.94,18.07,22.76,23.57,20.98,16.41,11.81,7.36,13.81
T2M,2002,39.75,-73.25,6.93,5.94,6.79,10.0,13.2,18.46,23.1,23.76,21.03,16.26,11.23,6.51,13.65
T2M,2002,39.75,-73.75,5.9,5.26,6.51,10.43,13.76,19.17,23.6,24.14,21.21,16.07,10.48,5.27,13.53
T2M,2002,39.75,-74.25,4.17,4.39,6.54,11.75,15.13,20.71,24.73,25.06,21.25,15.0,8.54,2.83,13.39
T2M,2002,39.75,-74.75,2.92,3.79,6.48,12.56,15.93,21.8,25.56,25.83,21.22,13.96,7.08,1.03,13.23
T2M,2002,39.75,-75.25,2.21,3.43,6.28,12.81,16.23,22.46,25.96,26.21,21.13,13.2,6.26,-0.01,13.06
T2M,2002,40.25,-72.25,7.19,5.8,6.53,9.25,12.33,17.26,22.08,23.01,20.48,15.67,11.39,6.71,13.18
T2M,2002,40.25,-72.75,6.48,5.38,6.18,9.52,12.62,17.77,22.55,23.26,20.48,15.52,10.78,5.98,13.09
T2M,2002,40.25,-73.25,5.59,4.86,5.89,9.96,13.08,18.58,23.25,23.68,20.63,15.28,10.04,4.92,13.03
T2M,2002,40.25,-73.75,4.71,4.51,5.91,10.64,13.73,19.52,23.99,24.21,20.81,14.95,9.17,3.7,13.03
T2M,2002,40.25,-74.25,2.86,3.56,5.81,11.76,14.88,20.99,25.16,25.1,20.71,13.58,7.11,1.2,12.78
T2M,2002,40.25,-74.75,1.69,2.89,5.52,12.08,15.34,21.67,25.61,25.51,20.58,12.52,5.83,-0.31,12.46
T2M,2002,40.25,-75.25,1.04,2.44,5.11,11.95,15.35,21.92,25.63,25.56,20.47,11.79,5.12,-1.21,12.15
T2M,2002,40.75,-72.25,5.39,4.28,5.39,9.06,12.24,17.36,22.2,22.93,20.07,14.52,9.73,4.62,12.36
T2M,2002,40.75,-72.75,4.56,3.83,5.1,9.5,12.68,18.18,22.91,23.37,20.18,14.28,9.02,3.68,12.32
T2M,2002,40.75,-73.25,3.74,3.48,4.93,10.12,13.22,19.16,23.77,23.88,20.27,13.87,8.16,2.56,12.31
T2M,2002,40.75,-73.75,2.59,3.18,5.06,10.85,13.79,20.14,24.65,24.48,20.25,12.99,6.86,0.94,12.2
T2M,2002,40.75,-74.25,1.29,2.4,4.72,11.19,14.18,20.77,25.01,24.75,20.0,11.81,5.4,-0.71,11.78
T2M,2002,40.75,-74.75,0.47,1.75,4.23,11.0,14.2,20.86,24.9,24.69,19.72,10.95,4.48,-1.72,11.34
T2M,2002,40.75,-75.25,-0.11,1.22,3.68,10.59,13.98,20.72,24.57,24.46,19.48,10.34,3.91,-2.38,10.92
T2M,2002,41.25,-72.25,2.76,2.51,4.43,9.38,12.61,18.26,23.22,23.43,19.68,12.56,7.1,1.43,11.5
T2M,2002,41.25,-72.75,2.0,2.14,4.19,9.7,12.91,18.94,23.77,23.77,19.71,12.18,6.38,0.52,11.4
T2M,2002,41.25,-73.25,1.34,1.88,3.94,10.05,13.14,19.49,24.14,23.94,19.58,11.64,5.6,-0.41,11.24
T2M,2002,41.25,-73.75,0.33,1.55,3.92,10.48,13.42,20.14,24.67,24.31,19.51,10.81,4.47,-1.72,11.04
T2M,2002,41.25,-74.25,-0.3,1.0,3.43,10.2,13.21,20.01,24.21,24.02,19.21,10.07,3.68,-2.47,10.57
T2M,2002,41.25,-74.75,-0.78,0.46,2.87,9.74,12.93,19.74,23.7,23.73,18.9,9.53,3.15,-3.0,10.13
T2M,2002,41.25,-75.25,-1.21,-0.05,2.28,9.19,12.57,19.37,23.09,23.31,18.53,9.06,2.77,-3.42,9.67
T2M,2002,41.75,-72.25,0.38,0.96,3.53,9.55,12.82,18.93,23.93,23.75,19.25,10.5,4.62,-1.43,10.62
T2M,2002,41.75,-72.75,-0.2,0.63,3.2,9.53,12.73,19.16,23.94,23.69,19.11,10.07,4.01,-2.06,10.37
T2M,2002,41.75,-73.25,-0.78,0.27,2.75,9.38,12.48,19.14,23.67,23.42,18.79,9.49,3.31,-2.79,9.97
T2M,2002,41.75,-73.75,-0.95,0.3,2.78,9.58,12.6,19.53,23.88,23.69,18.99,9.38,3.05,-3.02,10.03
T2M,2002,41.75,-74.25,-1.55,-0.53,1.85,8.7,11.86,18.8,22.72,22.75,18.24,8.56,2.29,-3.71,9.21
T2M,2002,41.75,-74.75,-2.17,-1.07,1.27,8.14,11.43,18.41,21.93,22.35,17.89,8.11,1.85,-4.14,8.71
T2M,2002,41.75,-75.25,-2.38,-1.28,1.03,7.9,11.31,18.3,21.59,22.24,17.8,7.97,1.79,-4.29,8.55
T2M,2003,39.75,-72.25,3.3,3.42,5.28,7.25,11.13,16.22,22.0,23.97,21.57,16.13,12.58,7.55,12.59
T2M,2003,39.75,-72.75,2.86,3.02,5.1,7.12,10.93,16.14,21.99,23.68,21.36,15.86,12.47,7.25,12.37
T2M,2003,39.75,-73.25,2.14,2.38,4.9,7.1,11.06,16.51,22.17,23.38,21.13,15.59,12.31,6.71,12.17
T2M,2003,39.75,-73.75,1.03,1.48,4.7,7.37,11.58,17.42,22.54,23.24,20.89,15.3,11.97,5.79,12.0
T2M,2003,39.75,-74.25,-1.05,-0.22,4.8,8.29,12.85,18.83,23.12,23.4,20.54,13.9,10.76,3.63,11.64
T2M,2003,39.75,-74.75,-2.44,-1.45,4.87,8.94,13.73,19.7,23.45,23.53,20.18,12.73,9.88,2.09,11.34
T2M,2003,39.75,-75.25,-3.16,-2.14,4.8,9.27,14.19,20.03,23.51,23.65,19.91,12.06,9.44,1.27,11.14
T2M,2003,40.25,-72.25,2.17,2.15,4.45,6.4,10.63,15.83,21.43,23.36,20.71,15.46,11.81,6.79,11.82
T2M,2003,40.25,-72.75,1.51,1.54,4.28,6.49,10.78,16.16,21.64,23.16,20.58,15.2,11.68,6.28,11.67
T2M,2003,40.25,-73.25,0.52,0.72,4.04,6.71,11.18,16.85,22.09,23.05,20.46,14.8,11.37,5.43,11.5
T2M,2003,40.25,-73.75,-0.54,-0.01,3.96,7.08,11.75,17.7,22.56,23.11,20.28,14.3,10.92,4.45,11.36
T2M,2003,40.25,-74.25,-2.65,-1.71,4.12,7.84,13.01,18.9,23.09,23.37,19.86,12.68,9.65,2.3,10.94
T2M,2003,40.25,-74.75,-3.85,-2.76,4.04,8.26,13.69,19.4,23.11,23.32,19.41,11.6,8.86,1.03,10.58
T2M,2003,40.25,-75.25,-4.48,-3.35,3.85,8.44,13.93,19.46,22.91,23.2,19.03,10.96,8.43,0.32,10.3
T2M,2003,40.75,-72.25,0.1,0.15,3.39,5.94,10.99,16.23,21.21,22.82,19.99,14.4,10.62,5.16,10.98
T2M,2003,40.75,-72.75,-0.79,-0.65,3.2,6.2,11.43,16.87,21.65,22.86,19.96,14.04,10.34,4.42,10.86
T2M,2003,40.75,-73.25,-1.85,-1.45,3.09,6.56,11.95,17.62,22.22,22.97,19.85,13.46,9.92,3.47,10.72
T2M,2003,40.75,-73.75,-3.27,-2.23,3.19,6.95,12.53,18.31,22.63,23.04,19.46,12.44,9.1,2.12,10.43
T2M,2003,40.75,-74.25,-4.78,-3.45,3.13,7.19,13.1,18.76,22.66,22.97,18.85,11.14,8.15,0.66,9.94
T2M,2003,40.75,-74.75,-5.63,-4.2,2.93,7.28,13.3,18.79,22.34,22.64,18.29,10.27,7.6,-0.21,9.52
T2M,2003,40.75,-75.25,-6.13,-4.67,2.7,7.31,13.3,18.6,21.93,22.24,17.82,9.71,7.23,-0.79,9.18
T2M,2003,41.25,-72.25,-3.19,-2.36,2.4,5.87,11.91,17.26,21.61,22.71,19.24,12.49,8.61,2.58,10.0
T2M,2003,41.25,-72.75,-4.24,-3.09,2.24,6.09,12.31,17.78,21.94,22.77,19.11,11.96,8.24,1.78,9.81
T2M,2003,41.25,-73.25,-5.31,-3.78,2.12,6.31,12.61,18.16,22.13,22.7,18.74,11.28,7.81,0.9,9.54
T2M,2003,41.25,-73.75,-6.61,-4.47,2.2,6.6,13.01,18.56,22.29,22.66,18.27,10.39,7.15,-0.26,9.22
T2M,2003,41.25,-74.25,-7.32,-5.19,1.91,6.4,12.88,18.36,21.82,22.2,17.62,9.54,6.57,-1.07,8.71
T2M,2003,41.25,-74.75,-7.67,-5.61,1.72,6.25,12.71,18.03,21.33,21.72,17.09,8.96,6.26,-1.53,8.34
T2M,2003,41.25,-75.25,-7.94,-5.95,1.53,6.16,12.53,17.65,20.82,21.21,16.6,8.52,6.02,-1.88,8.01
T2M,2003,41.75,-72.25,-6.91,-4.57,1.61,5.63,12.34,17.91,22.03,22.67,18.29,10.43,6.55,0.18,8.92
T2M,2003,41.75,-72.75,-7.74,-5.21,1.39,5.69,12.46,18.03,21.95,22.44,17.91,9.86,6.19,-0.53,8.61
T2M,2003,41.75,-73.25,-8.6,-5.97,1.09,5.68,12.44,17.98,21.6,22.0,17.33,9.21,5.81,-1.35,8.18
T2M,2003,41.75,-73.75,-8.91,-6.0,1.24,6.01,12.78,18.19,21.64,22.1,17.28,9.14,5.94,-1.66,8.22
T2M,2003,41.75,-74.25,-9.33,-6.87,0.46,5.37,12.09,17.48,20.69,21.15,16.39,8.25,5.25,-2.36,7.45
T2M,2003,41.75,-74.75,-9.56,-7.31,0.17,5.12,11.84,17.04,20.13,20.61,15.89,7.74,4.95,-2.74,7.06
T2M,2003,41.75,-75.25,-9.53,-7.32,0.33,5.21,11.9,16.85,19.89,20.38,15.67,7.58,4.96,-2.8,7.0
T2M,2004,39.75,-72.25,1.96,4.08,5.06,8.43,13.69,18.04,22.26,22.55,21.5,16.24,11.7,8.13,12.83
T2M,2004,39.75,-72.75,1.53,3.87,4.75,7.91,13.81,18.3,22.45,22.64,21.4,15.89,11.59,7.79,12.69
T2M,2004,39.75,-73.25,0.85,3.39,4.69,7.82,14.28,18.8,22.66,22.72,21.42,15.67,11.47,7.33,12.62
T2M,2004,39.75,-73.75,-0.13,2.67,4.82,8.37,15.23,19.49,22.94,22.83,21.56,15.49,11.1,6.47,12.6
T2M,2004,39.75,-74.25,-2.07,1.24,5.09,9.6,17.04,20.36,23.39,22.96,21.34,14.38,9.62,4.35,12.31
T2M,2004,39.75,-74.75,-3.39,0.25,5.38,10.43,18.35,20.79,23.54,22.9,20.97,13.38,8.46,2.84,12.02
T2M,2004,39.75,-75.25,-4.0,-0.31,5.57,10.81,19.05,20.96,23.61,22.79,20.69,12.77,7.88,2.06,11.85
T2M,2004,40.25,-72.25,0.67,3.09,4.26,7.44,12.94,17.48,21.61,21.97,20.81,15.32,11.06,7.23,12.02
T2M,2004,40.25,-72.75,0.11,2.77,4.19,7.42,13.38,18.01,21.95,22.16,20.87,15.08,10.89,6.75,11.99
T2M,2004,40.25,-73.25,-0.75,2.19,4.23,7.77,14.21,18.76,22.35,22.38,20.98,14.85,10.51,6.0,11.98
T2M,2004,40.25,-73.75,-1.63,1.56,4.4,8.44,15.33,19.55,22.75,22.61,21.09,14.58,9.96,5.09,12.0
T2M,2004,40.25,-74.25,-3.6,0.09,4.58,9.53,17.21,20.38,23.2,22.77,20.77,13.23,8.38,2.9,11.65
T2M,2004,40.25,-74.75,-4.71,-0.88,4.68,10.0,18.18,20.52,23.15,22.52,20.29,12.28,7.38,1.57,11.28
T2M,2004,40.25,-75.25,-5.25,-1.55,4.7,10.11,18.55,20.37,22.9,22.13,19.81,11.71,6.88,0.88,10.97
T2M,2004,40.75,-72.25,-1.54,1.41,3.55,7.25,12.97,17.51,21.34,21.66,20.2,14.29,9.86,5.53,11.2
T2M,2004,40.75,-72.75,-2.24,0.87,3.58,7.57,13.75,18.25,21.9,22.02,20.37,14.04,9.47,4.77,11.22
T2M,2004,40.75,-73.25,-3.06,0.28,3.67,8.07,14.74,19.03,22.42,22.25,20.39,13.66,8.92,3.89,11.22
T2M,2004,40.75,-73.75,-4.25,-0.61,3.78,8.73,15.92,19.72,22.83,22.35,20.14,12.84,7.92,2.61,11.03
T2M,2004,40.75,-74.25,-5.55,-1.82,3.74,9.11,17.01,20.0,22.8,22.21,19.64,11.74,6.81,1.06,10.59
T2M,2004,40.75,-74.75,-6.33,-2.72,3.64,9.12,17.45,19.73,22.37,21.72,19.11,11.04,6.12,0.1,10.15
T2M,2004,40.75,-75.25,-6.76,-3.45,3.52,8.98,17.55,19.3,21.81,21.16,18.61,10.59,5.73,-0.48,9.75
T2M,2004,41.25,-72.25,-4.73,-0.86,2.88,7.7,14.05,18.2,21.69,21.64,19.4,12.66,7.6,2.66,10.27
T2M,2004,41.25,-72.75,-5.4,-1.59,2.88,7.97,14.74,18.71,22.14,21.87,19.45,12.28,7.14,1.8,10.2
T2M,2004,41.25,-73.25,-6.05,-2.34,2.88,8.2,15.41,19.04,22.33,21.8,19.21,11.77,6.65,1.0,10.02
T2M,2004,41.25,-73.75,-6.97,-3.3,2.97,8.59,16.31,19.37,22.48,21.69,18.81,10.97,5.87,-0.01,9.76
T2M,2004,41.25,-74.25,-7.66,-4.14,2.74,8.37,16.52,19.06,21.94,21.23,18.26,10.26,5.23,-0.87,9.28
T2M,2004,41.25,-74.75,-8.12,-4.86,2.53,8.1,16.53,18.61,21.25,20.71,17.82,9.87,4.84,-1.43,8.86
T2M,2004,41.25,-75.25,-8.44,-5.48,2.32,7.8,16.44,18.1,20.54,20.13,17.39,9.56,4.56,-1.84,8.46
T2M,2004,41.75,-72.25,-7.58,-3.06,2.21,7.83,14.91,18.49,21.87,21.42,18.34,10.93,5.41,-0.1,9.25
T2M,2004,41.75,-72.75,-8.07,-3.96,2.09,7.83,15.19,18.55,21.9,21.3,18.16,10.52,5.04,-0.82,9.01
T2M,2004,41.75,-73.25,-8.59,-5.04,1.88,7.7,15.42,18.39,21.61,20.9,17.73,10.01,4.62,-1.51,8.63
T2M,2004,41.75,-73.75,-8.5,-5.34,2.15,7.94,15.98,18.55,21.72,20.91,17.72,9.92,4.71,-1.6,8.72
T2M,2004,41.75,-74.25,-9.32,-5.95,1.55,7.22,15.55,17.78,20.62,20.05,16.98,9.09,3.97,-2.43,7.96
T2M,2004,41.75,-74.75,-9.74,-6.55,1.28,6.86,15.39,17.3,19.89,19.53,16.59,8.74,3.61,-2.85,7.54
T2M,2004,41.75,-75.25,-9.74,-6.9,1.32,6.78,15.48,17.07,19.49,19.23,16.45,8.72,3.55,-2.92,7.42
T2M,2005,39.75,-72.25,4.75,4.25,4.56,8.17,10.76,17.91,22.75,24.87,22.6,17.64,13.24,7.3,13.28
T2M,2005,39.75,-72.75,4.31,3.91,4.2,8.17,11.09,18.06,22.79,24.78,22.53,17.21,12.84,6.72,13.1
T2M,2005,39.75,-73.25,3.75,3.62,3.93,8.34,11.68,18.51,23.03,24.76,22.49,16.86,12.44,5.97,13.0
T2M,2005,39.75,-73.75,2.83,3.15,3.71,8.87,12.41,19.17,23.43,24.95,22.56,16.43,11.85,4.83,12.9
T2M,2005,39.75,-74.25,0.87,1.94,3.21,9.96,13.33,20.7,24.26,25.53,22.74,15.49,10.34,2.34,12.61
T2M,2005,39.75,-74.75,-0.52,1.07,2.8,10.67,13.81,21.65,24.67,25.74,22.78,14.72,9.13,0.5,12.3
T2M,2005,39.75,-75.25,-1.16,0.66,2.51,11.01,14.01,22.26,24.96,25.82,22.7,14.21,8.41,-0.5,12.12
T2M,2005,40.25,-72.25,3.5,3.33,3.59,7.54,10.63,17.44,22.07,24.02,21.88,16.58,12.47,6.25,12.49
T2M,2005,40.25,-72.75,2.98,3.04,3.38,7.82,11.23,17.95,22.42,24.21,21.95,16.17,12.08,5.59,12.45
T2M,2005,40.25,-73.25,2.17,2.64,3.14,8.34,11.98,18.82,23.03,24.59,22.15,15.8,11.48,4.61,12.45
T2M,2005,40.25,-73.75,1.19,2.09,2.91,9.03,12.71,19.8,23.68,25.12,22.39,15.38,10.71,3.39,12.42
T2M,2005,40.25,-74.25,-0.76,0.9,2.27,10.04,13.39,21.45,24.57,25.83,22.54,14.38,8.98,0.78,12.08
T2M,2005,40.25,-74.75,-2.03,0.2,1.76,10.49,13.55,22.0,24.72,25.82,22.36,13.68,7.89,-0.83,11.68
T2M,2005,40.25,-75.25,-2.69,-0.15,1.35,10.58,13.48,22.17,24.62,25.54,22.03,13.18,7.27,-1.7,11.35
T2M,2005,40.75,-72.25,1.43,1.95,2.54,7.59,10.95,17.73,22.08,23.7,21.31,15.31,11.2,4.36,11.73
T2M,2005,40.75,-72.75,0.69,1.55,2.31,8.07,11.62,18.68,22.71,24.27,21.6,14.94,10.66,3.47,11.76
T2M,2005,40.75,-73.25,-0.2,1.14,2.05,8.68,12.27,19.78,23.37,24.82,21.92,14.52,9.91,2.4,11.77
T2M,2005,40.75,-73.75,-1.56,0.5,1.66,9.31,12.77,20.95,24.12,25.42,22.08,13.85,8.73,0.84,11.61
T2M,2005,40.75,-74.25,-2.98,-0.36,0.98,9.72,12.95,21.81,24.48,25.53,21.86,13.01,7.42,-0.99,11.17
T2M,2005,40.75,-74.75,-3.89,-0.93,0.4,9.75,12.8,21.83,24.27,25.15,21.45,12.43,6.64,-2.11,10.7
T2M,2005,40.75,-75.25,-4.4,-1.31,-0.07,9.59,12.56,21.59,23.89,24.61,20.94,12.0,6.11,-2.83,10.27
T2M,2005,41.25,-72.25,-1.75,-0.03,1.2,8.16,11.29,19.0,22.71,24.09,20.91,13.56,8.96,1.35,10.84
T2M,2005,41.25,-72.75,-2.56,-0.43,0.89,8.52,11.74,19.86,23.18,24.59,21.18,13.2,8.33,0.39,10.79
T2M,2005,41.25,-73.25,-3.38,-0.74,0.56,8.81,12.06,20.63,23.41,24.79,21.29,12.78,7.63,-0.55,10.65
T2M,2005,41.25,-73.75,-4.47,-1.2,0.23,9.22,12.37,21.54,23.94,25.08,21.32,12.24,6.67,-1.74,10.48
T2M,2005,41.25,-74.25,-5.23,-1.72,-0.37,9.07,12.14,21.54,23.73,24.63,20.84,11.63,5.93,-2.73,10.0
T2M,2005,41.25,-74.75,-5.66,-2.21,-0.92,8.81,11.88,21.25,23.3,24.06,20.34,11.21,5.43,-3.4,9.56
T2M,2005,41.25,-75.25,-5.9,-2.69,-1.43,8.46,11.58,20.84,22.8,23.44,19.72,10.8,5.02,-3.94,9.11
T2M,2005,41.75,-72.25,-4.73,-1.81,-0.23,8.38,11.16,20.06,22.79,24.1,20.29,11.81,6.6,-1.53,9.79
T2M,2005,41.75,-72.75,-5.38,-2.14,-0.59,8.43,11.32,20.47,22.86,24.1,20.31,11.49,6.07,-2.27,9.61
T2M,2005,41.75,-73.25,-6.15,-2.52,-1.01,8.33,11.35,20.72,22.71,23.84,20.13,11.09,5.52,-3.04,9.29
T2M,2005,41.75,-73.75,-6.35,-2.44,-0.9,8.66,11.73,21.3,23.08,24.07,20.33,11.15,5.42,-3.17,9.46
T2M,2005,41.75,-74.25,-6.92,-3.21,-1.73,8.04,11.05,20.76,22.25,23.1,19.46,10.3,4.71,-4.07,8.69
T2M,2005,41.75,-74.75,-7.19,-3.76,-2.24,7.68,10.77,20.37,21.8,22.56,18.97,9.86,4.23,-4.64,8.25
T2M,2005,41.75,-75.25,-7.12,-4.02,-2.48,7.53,10.75,20.2,21.7,22.4,18.65,9.68,4.1,-4.87,8.09
